StockCode,Description,TotalQtySold,DaysWithSales,StdDevOnSaleDays,AvgDailyDemand,AvgDailyDemand_ActiveDays,Safety_Stock,ReorderPoint,SimulatedDaysOfStock,CurrentStock,ReorderFlag,TotalRevenue_x,TotalRevenue_y,TotalRevenue,CumulativeRevenue,CumulativeRevenuePercent,ABC_Category
22423,REGENCY CAKESTAND 3 TIER,27577,514,60.17969620341022,37.31664411366712,53.65175097276265,263.0,524.0,9,335.84979702300404,Reorder Now,344563.25,344563.25,344563.25,344563.25,1.250016957430569,A
M,Manual,10050,377,129.48234558269684,13.599458728010823,26.657824933687003,565.0,660.0,7,95.19621109607576,Reorder Now,340716.28,340716.28,340716.28,685279.53,2.4860777609917784,A
DOT,DOTCOM POSTAGE,1436,441,3.695219685766613,1.9431664411366711,3.256235827664399,16.0,30.0,12,23.31799729364005,Reorder Now,322657.48,322657.48,322657.48,1007937.01,3.65662430488993,A
85123A,CREAM HANGING HEART T-LIGHT HOLDER,61,2,37.476659402887016,0.0825439783491204,30.5,164.0,165.0,18,1.4857916102841673,Reorder Now,263094.37,263094.37,263094.37,1271031.38,4.611086000687472,A
85123A,WHITE HANGING HEART T-LIGHT HOLDER,96080,602,218.78496086278088,130.01353179972935,159.6013289036545,955.0,1865.0,9,1170.1217861975642,Reorder Now,263094.37,263094.37,263094.37,1534125.75,5.565547696485014,A
85099B,JUMBO BAG RED RETROSPOT,78860,461,196.81837343372644,106.71177266576454,171.06290672451192,859.0,1606.0,14,1493.9648173207036,Reorder Now,183454.83,183454.83,183454.83,1717580.58,6.231090665511868,A
85099B,JUMBO BAG RED WHITE SPOTTY ,14071,108,143.19511888811644,19.04059539918809,130.28703703703704,625.0,758.0,13,247.52774018944515,Reorder Now,183454.83,183454.83,183454.83,1901035.4100000001,6.896633634538723,A
85099B,RED RETROSPOT JUMBO BAG ,5418,45,135.86647857363494,7.331529093369418,120.4,593.0,644.0,15,109.97293640054129,Reorder Now,183454.83,183454.83,183454.83,2084490.2400000002,7.562176603565578,A
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,1,0.0,109.60081190798375,80995.0,0.0,767.0,13,1424.8105548037888,OK,168469.6,168469.6,168469.6,2252959.8400000003,8.173355702937158,A
47566,PARTY BUNTING,28378,541,64.60257620824294,38.40054127198918,52.4547134935305,282.0,551.0,4,153.6021650879567,Reorder Now,149187.05000000002,149187.05000000002,149187.05000000002,2402146.89,8.714580985462332,A
84879,ASSORTED COLOUR BIRD ORNAMENT,81809,582,243.6642431125281,110.702300405954,140.5652920962199,1064.0,1839.0,14,1549.832205683356,Reorder Now,132187.92,132187.92,132187.92,2534334.81,9.194136311131787,A
POST,POSTAGE,5461,514,8.784237514453967,7.389715832205684,10.624513618677042,38.0,90.0,15,110.84573748308526,OK,127597.42,127597.42,127597.42,2661932.23,9.657038082357795,A
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,36581,306,182.0300268824081,49.50067658998647,119.54575163398692,795.0,1142.0,9,445.50608930987823,Reorder Now,123141.54000000001,123141.54000000001,123141.54000000001,2785073.77,10.103774677639258,A
79321,CHILLI LIGHTS,16840,435,73.08856253484268,22.787550744248986,38.71264367816092,319.0,479.0,18,410.17591339648175,Reorder Now,85489.91,85489.91,85489.91,2870563.68,10.413917553262857,A
23166,MEDIUM CERAMIC TOP STORAGE JAR,78033,125,6635.405617744854,105.59269282814614,624.264,28967.0,29706.0,11,1161.5196211096077,Reorder Now,81700.92000000001,81700.92000000001,81700.92000000001,2952264.6,10.71031461661096,A
22197,POPCORN HOLDER,36761,152,434.3585475305244,49.74424898511502,241.8486842105264,1896.0,2244.0,17,845.6522327469554,Reorder Now,80920.64,80920.64,80920.64,3033185.24,11.003880956625848,A
22197,"POPCORN HOLDER , SMALL ",3189,55,116.85674847136411,4.315290933694182,57.98181818181818,510.0,540.0,2,8.630581867388363,Reorder Now,80920.64,80920.64,80920.64,3114105.8800000004,11.297447296640733,A
22197,SMALL POPCORN HOLDER,49948,375,329.9488973125834,67.58863328822733,133.19466666666668,1440.0,1913.0,3,202.765899864682,Reorder Now,80920.64,80920.64,80920.64,3195026.5200000005,11.591013636655621,A
22386,JUMBO BAG PINK WITH WHITE SPOTS,14213,204,76.03483111281876,19.23274695534506,69.67156862745098,332.0,467.0,1,19.23274695534506,Reorder Now,77111.91,77111.91,77111.91,3272138.4300000006,11.87076255102725,A
22386,JUMBO BAG PINK POLKADOT,25627,346,107.0336459507113,34.67794316644114,74.06647398843931,467.0,710.0,2,69.35588633288228,Reorder Now,77111.91,77111.91,77111.91,3349250.340000001,12.150511465398878,A
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,32525,257,642.595285468144,44.012178619756426,126.55642023346304,2805.0,3113.0,4,176.0487144790257,Reorder Now,74448.92,74448.92,74448.92,3423699.2600000007,12.420599504278218,A
20725,LUNCH BAG RED SPOTTY,18143,257,62.40530058106316,24.550744248985115,70.59533073929961,272.0,444.0,15,368.2611637347768,Reorder Now,72292.85,72292.85,72292.85,3495992.110000001,12.682865687340355,A
20725,LUNCH BAG RED RETROSPOT,22799,356,65.05837829097953,30.851150202977,64.04213483146067,284.0,500.0,18,555.320703653586,OK,72292.85,72292.85,72292.85,3568284.960000001,12.94513187040249,A
21137,BLACK RECORD COVER FRAME,19954,346,126.89763578965504,27.00135317997293,57.67052023121387,554.0,743.0,8,216.01082543978345,Reorder Now,69329.47,69329.47,69329.47,3637614.430000001,13.196647414064428,A
85099F,JUMBO BAG STRAWBERRY,37124,548,112.06078783888896,50.23545331529093,67.74452554744525,489.0,841.0,19,954.4736129905276,OK,68488.81,68488.81,68488.81,3706103.240000001,13.445113186006852,A
20685,DOOR MAT RED SPOT,2486,110,32.32523937912032,3.364005412719892,22.6,141.0,165.0,12,40.368064952638704,Reorder Now,67859.56,67859.56,67859.56,3773962.800000001,13.691296145808215,A
20685,DOORMAT RED RETROSPOT,5227,318,34.68816660829285,7.073071718538565,16.437106918238992,151.0,201.0,19,134.38836265223273,Reorder Now,67859.56,67859.56,67859.56,3841822.3600000013,13.93747910560958,A
20685,DOORMAT RED SPOT,1086,81,14.62085648805994,1.469553450608931,13.407407407407408,64.0,74.0,14,20.573748308525037,Reorder Now,67859.56,67859.56,67859.56,3909681.9200000013,14.183662065410942,A
20685,RED SPOTTY COIR DOORMAT,1175,56,28.61372275447796,1.589986468200271,20.982142857142858,125.0,136.0,6,9.539918809201623,Reorder Now,67859.56,67859.56,67859.56,3977541.4800000014,14.429845025212307,A
48138,DOORMAT UNION FLAG,6395,372,42.8227541388257,8.653585926928281,17.190860215053764,187.0,248.0,17,147.1109607577808,Reorder Now,67757.63,67757.63,67757.63,4045299.1100000013,14.675658200283376,A
48138,DOOR MAT UNION FLAG,3780,154,23.772915579531155,5.115020297699594,24.545454545454547,104.0,140.0,13,66.49526387009473,Reorder Now,67757.63,67757.63,67757.63,4113056.740000001,14.921471375354441,A
23084,RABBIT NIGHT LIGHT,30788,136,430.3123939965189,41.6617050067659,226.3823529411765,1879.0,2171.0,12,499.9404600811908,Reorder Now,66964.99,66964.99,66964.99,4180021.7300000014,15.164408987111264,A
21843,RED RETROSPOT CAKE STAND,4772,429,22.72028470221389,6.457374830852503,11.123543123543124,99.0,144.0,18,116.23274695534504,Reorder Now,66620.2,66620.2,66620.2,4246641.930000002,15.406095759300161,A
21843,RETRO SPOT CAKE STAND,1518,106,20.655702392553483,2.054127198917456,14.320754716981131,90.0,104.0,18,36.97428958051421,Reorder Now,66620.2,66620.2,66620.2,4313262.130000002,15.64778253148906,A
22114,HOT WATER BOTTLE TEA AND SYMPATHY,12462,355,50.76847702001826,16.863328822733422,35.10422535211268,222.0,340.0,11,185.49661705006764,Reorder Now,63517.75,63517.75,63517.75,4376779.880000002,15.87821414193456,A
82484,WOOD BLACK BOARD ANT WHITE FINISH,11054,438,113.9612454293474,14.958051420838972,25.23744292237443,497.0,602.0,17,254.2868741542625,Reorder Now,62842.02,62842.02,62842.02,4439621.900000001,16.10619431869221,A
21931,JUMBO STORAGE BAG SUKI,29503,579,56.88963443372676,39.92286874154262,50.95509499136442,248.0,527.0,2,79.84573748308524,Reorder Now,62285.28,62285.28,62285.28,4501907.180000002,16.33215473727519,A
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,19597,212,97.00652743049878,26.518267929634643,92.438679245283,423.0,609.0,18,477.3288227334236,Reorder Now,61721.990000000005,61721.990000000005,61721.990000000005,4563629.170000002,16.55607163539581,A
22502,PICNIC BASKET WICKER 60 PIECES,61,1,0.0,0.0825439783491204,61.0,0.0,1.0,3,0.2476319350473612,Reorder Now,61510.67,61510.67,61510.67,4625139.840000002,16.779221900442696,A
22502,PICNIC BASKET WICKER SMALL,3808,307,14.829963850550948,5.152909336941813,12.403908794788274,65.0,101.0,2,10.305818673883628,Reorder Now,61510.67,61510.67,61510.67,4686650.510000002,17.00237216548958,A
22112,CHOCOLATE HOT WATER BOTTLE,11556,438,33.8828767985553,15.637347767253043,26.383561643835616,148.0,257.0,17,265.83491204330176,OK,60763.12,60763.12,60763.12,4747413.630000002,17.222810446085052,A
21621,VINTAGE UNION JACK BUNTING,6945,494,27.54223375296828,9.3978349120433,14.058704453441296,120.0,186.0,14,131.5696887686062,Reorder Now,60668.54,60668.54,60668.54,4808082.170000002,17.44290560650206,A
85099C,JUMBO  BAG BAROQUE BLACK WHITE,31249,560,74.02464172002924,42.28552097428958,55.801785714285714,323.0,619.0,14,591.9972936400542,Reorder Now,60292.32,60292.32,60292.32,4868374.490000002,17.66163590464857,A
15056N,EDWARDIAN PARASOL NATURAL,11370,475,55.98511905325829,15.385656292286876,23.93684210526316,244.0,352.0,12,184.62787550744247,Reorder Now,58427.590000000004,58427.590000000004,58427.590000000004,4926802.080000002,17.87360127902265,A
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,27732,540,59.56692395272616,37.52638700947226,51.355555555555554,260.0,523.0,4,150.10554803788904,Reorder Now,58275.45,58275.45,58275.45,4985077.530000002,18.08501471531308,A
22470,HEART OF WICKER LARGE,18551,423,100.40359554500124,25.102841677943168,43.85579196217494,438.0,614.0,18,451.851150202977,Reorder Now,55898.87,55898.87,55898.87,5040976.400000002,18.287806322953205,A
22189,CREAM HEART CARD HOLDER,18363,477,204.5892751922832,24.848443843031124,38.496855345911946,893.0,1067.0,14,347.8782138024357,Reorder Now,54598.73,54598.73,54598.73,5095575.130000003,18.485881243462497,A
20914,SET/5 RED SPOTTY LID GLASS BOWLS,10718,245,70.19569571959319,14.50338294993234,43.7469387755102,306.0,408.0,5,72.5169147496617,Reorder Now,53415.310000000005,53415.310000000005,53415.310000000005,5148990.440000002,18.67966291717962,A
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,8261,342,35.51071816017443,11.178619756427604,24.15497076023392,155.0,233.0,7,78.25033829499323,Reorder Now,53415.310000000005,53415.310000000005,53415.310000000005,5202405.750000002,18.87344459089674,A
22178,VICTORIAN GLASS HANGING T-LIGHT,40748,560,107.12737044562614,55.13937753721245,72.76428571428572,468.0,854.0,3,165.41813261163733,Reorder Now,53330.49,53330.49,53330.49,5255736.240000002,19.066918552057952,A
22139,11 PC CERAMIC TEA SET POLKADOT,3,1,0.0,0.0040595399188092,3.0,0.0,0.0,13,0.0527740189445195,OK,53214.31,53214.31,53214.31,5308950.550000002,19.259971031908798,A
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,4447,218,34.095574521034514,6.017591339648173,20.39908256880734,149.0,191.0,19,114.33423545331527,Reorder Now,53214.31,53214.31,53214.31,5362164.860000001,19.45302351175964,A
22139,RETROSPOT TEA SET CERAMIC 11 PC ,6225,328,17.352863374905095,8.423545331529093,18.978658536585368,76.0,135.0,19,160.04736129905277,OK,53214.31,53214.31,53214.31,5415379.170000001,19.646075991610484,A
21212,PACK OF 72 RETROSPOT CAKE CASES,49805,357,204.3058074686348,67.39512855209743,139.50980392156862,892.0,1364.0,5,336.9756427604872,Reorder Now,52997.2,52997.2,52997.2,5468376.370000001,19.83834083325085,A
21212,PACK OF 72 RETRO SPOT CAKE CASES,46755,265,169.5125039450209,63.267929634641405,176.43396226415095,740.0,1183.0,19,1202.0906630581867,OK,52997.2,52997.2,52997.2,5521373.570000001,20.030605674891216,A
